Date,Emp Id,Name,Designation,KRA
01-11-2018,1101,ARUN,MIS-OPERATION,SALES
01-11-2018,1102,ASHOK,OPERATION,PHP
03-11-2018,1103,BISWAS,SOFTWARE ENG,JAVA
03-11-2018,1104,DINESH,SME,MAILS
03-11-2018,1105,ESHWAR,PROGRAMMER,C++
06-11-2018,1106,FAHAD,PROGRAMMER,DOT NET
06-11-2018,1107,GANGA,SOFTWARE ASSOCIATE,TESTING
08-11-2018,1108,HEMA,NETWORK ENG,SERVER
08-11-2018,1109,FARZANA,SALES EXECUTIVE,SALES
08-11-2018,1110,AYESH,SALES EXECUTIVE,AMAZON
09-11-2018,1111,PRAVEEN,SALES EXECUTIVE,AMAZON
09-11-2018,1109,FARZANA,SALES EXECUTIVE,AMAZON
10-11-2018,1112,VISHAL,SALES EXECUTIVE,GROFERS
10-11-2018,1113,VISHNU,SALES EXECUTIVE,PAYTM
10-11-2018,1114,KRISHNA,SALES EXECUTIVE,PAYTM
10-11-2018,1115,ABHISHEK,SALES EXECUTIVE,MYNTRA
11-11-2018,1109,FARZANA,SALES EXECUTIVE,AMAZON
11-11-2018,1116,FARZANA BANU,SALES EXECUTIVE,MYNTRA
11-11-2018,1116,FARZANA BANU,SALES EXECUTIVE,MYNTRA
11-11-2018,1116,FARZANA BANU,SALES EXECUTIVE,MYNTRA
01-11-2018,1010,VAMSEE KRISHNA,BRAND MANAGER,MARKETING
