Name,Date_of_Birth,DAY,MONTH,YEAR,NO.OF STUDENTS,CALULATE AGE,STUDENTS AGE > 20,AGE > 20 THEN CHILD OTHERWISE CHILD,STUDENT AGE >=25
RAMESH,15-05-1980,15,5,1980,11,45,8,ADULT,7
RAKESH,20-08-1981,20,8,1981,,44,,ADULT,
RAHUL,15-10-2003,15,10,2003,,22,,ADULT,
POOJA,25-05-1990,25,5,1990,,35,,ADULT,
MANOJ,24-08-1992,24,8,1992,,33,,ADULT,
ASHOK,23-08-1998,23,8,1998,,27,,ADULT,
AJEET,12-05-1980,12,5,1980,,45,,ADULT,
ALOK,18-03-2005,18,3,2005,,20,,CHILD,
AMRIT,15-08-2007,15,8,2007,,18,,CHILD,
SURENDRA,25-05-2010,25,5,2010,,15,,CHILD,
SHASHI,25-08-1993,25,8,1993,,32,,ADULT,
,,,,,,,,,
,,,,,,,,,
Q1. How many students?,,,,,,,,,
Q2. Student Surendra is how many years old?,,,,,,,,,
Q3. How many students age greater than 20 years?,,,,,,,,,
Q4. If student age is greater than 20 then student Adult / Child?,,,,,,,,,
Q5. How many students age is equal to 25 years?,,,,,,,,,
