Name,Name,Name,Name,Name,Name,Name,Name,Name,Name
Richard,Male,United States,74,5,6,4,Canada,Canada,376
Jennifer,Female,United Kingdom,92,,,,,,
James,Male,United States,65,,,,,,
Lisa,Female,Canada,82,,,,,,
Sharon,Female,Australia,50,,,,,,
Elizabeth,Female,Canada,91,,,,,,
Carol,Female,United States,96,,,,,,
Mark,Male,United States,58,,,,,,
John,Male,Canada,67,,,,,,
Susan,Female,United Kingdom,54,,,,,,
David,Male,United States,83,,,,,,
,,,,,,,,,
,,,,,,,,,
1. How Many Male and Female Candidate in a List?,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2. How Many Male Employee in United States?,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3. Lisa and John Which Country Belong?,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4. United States Male and Female Candidate Scores?,,,,,,,,,
,,,,,,,,,
