Emp Name,Salary,Department,Emp ID,EMPLOYEE SANTOSH SALARY,TOTAL SAL OF IT DEPT,TOTAL SAL OF MARKETING
Raju,92671,Sales,Prd001,91309,214479,360325
Ramesh,84120,Operations,Prd002,,,
Ramila,50793,Marketing,Prd003,,,
Rajeshwari,77833,HR,Prd004,,,
Karan,58914,Finance,Prd005,,,
Rohith,51096,IT,Prd006,,,
Jacob,83735,Marketing,Prd007,,,
Jeming,74418,IT,Prd008,,,
Navya,51366,Sales,Prd009,,,
Kavya,54600,Finance,Prd010,,,
Santosh,91309,Operations,Prd011,,,
Shankar,80155,Finance,Prd012,,,
Rajesh,60802,Marketing,Prd013,,,
Mahesh,76260,Sales,Prd014,,,
Hemaraj,88965,IT,Prd015,,,
Nagaraj,63288,Operations,Prd016,,,
Johson,45742,Sales,Prd017,,,
David,88354,Marketing,Prd018,,,
Anderson,76641,Marketing,Prd019,,,
Peter,61678,Sales,Prd020,,,
,,,,,"1. How many employees work in HR, IT, and Marketing departments?",
,,,,,2. What is the salary of employee Santosh?,
COUNT OF HR,COUNT OF IT ,COUNT OF MARKETING,,,3. What is the total salary of IT and Marketing departments?,
1,3,5,,,,
,,,,,,
,,,,,,
,,,,,,
